scene,capture,method,keep_ratio,mean_psnr,n_train_poses
kitchen,sparse,random,0.7,24.502574,49
kitchen,sparse,visibility,0.7,25.938220,49
kitchen,sparse,path_aware,0.7,27.565803,49
kitchen,sparse,path_aware_v5_linear_falloff,0.7,28.402403,49
kitchen,sparse,raster_importance,0.7,40.516838,49
kitchen,sparse,random,0.5,19.772308,49
kitchen,sparse,visibility,0.5,18.464336,49
kitchen,sparse,path_aware,0.5,22.675549,49
kitchen,sparse,path_aware_v5_linear_falloff,0.5,23.780418,49
kitchen,sparse,raster_importance,0.5,29.935862,49
kitchen,sparse,random,0.3,15.533403,49
kitchen,sparse,visibility,0.3,12.598374,49
kitchen,sparse,path_aware,0.3,17.902008,49
kitchen,sparse,path_aware_v5_linear_falloff,0.3,18.542550,49
kitchen,sparse,raster_importance,0.3,19.432481,49
kitchen,sparse,random,0.1,11.448772,49
kitchen,sparse,visibility,0.1,10.472896,49
kitchen,sparse,path_aware,0.1,12.284487,49
kitchen,sparse,path_aware_v5_linear_falloff,0.1,12.509341,49
kitchen,sparse,raster_importance,0.1,11.825497,49
